STAT;LAT;LONG;h;WEEK
LB01;-6.7789339307286;-79.8712126201372;42.5606973906979;2250
LBRA;10.630958084883;-85.4379809150979;160.258429237641;2250
LCRZ;11.0785967670132;-85.6299784330288;247.149706291035;2250
LETA;-4.21417814979643;-69.9429705134735;106.764611561783;2190
LHAS;29.6573410239252;91.103991308319;3624.65058970079;1412
LHAZ;29.6573343824553;91.1040335878793;3624.6120092934;2190
LHCL;-38.0026575071475;-65.5952492224579;404.5605441425;2250
LI01;-12.1030161149051;-77.0169388772049;157.663451245055;2250
LIBE;10.6306138310039;-85.437882196883;163.833270886913;2212
LIMN;9.99309289842232;-83.0263668304075;25.0492540337145;2250
LIPA;6.78787433779328;-71.0252744598696;129.442112260498;2203
LJEC;-3.98825941688725;-79.1985379835421;2143.51548727322;2250
LMMF;14.5948182272357;-60.9961751845198;-27.1222595497966;2250
LPAZ;24.1387990458549;-110.319349808396;-6.85507219377905;1668
LPGS;-34.9067433732904;-57.9323002078319;29.8763362001628;2250
LR01;-3.76986638657874;-73.267612401394;123.972925430164;2250
LROS;-32.4754712282796;-61.578341496469;128.762588772923;2250
MA01;-38.9510467886914;-68.0573538472864;323.433341960423;1994
MABA;-5.36237604844976;-49.122298479313;79.8024961417541;2250
MABB;-4.24095660246586;-44.8157233577446;6.58568717911839;2250
MABS;-7.53381254594423;-46.0397179287335;226.856322795153;2221
MAC1;-54.4995259528938;158.935828997066;-6.82166513428092;2190
MAEC;-2.30460789100315;-78.1180161902712;1060.39254011307;2250
MAGA;9.23984979016294;-74.7598035130454;24.6171895312145;1780
MAL2;-2.99605278642361;40.1941467915346;-20.9176227841526;2190
MANA;12.1489398810608;-86.2489927775837;71.0120553066954;2250
MAPA;0.0466876654539496;-51.0973373129879;-4.21860648784786;1932
MARA;10.6739799343054;-71.6244298401116;28.3753422563896;1812
MAS1;27.7637441451897;-15.6332726345603;197.131894888356;2250
MATE;40.6491346080628;16.7044641529477;535.649545465596;2190
MAUI;20.7066597689585;-156.25703417381;3062.09233236872;2190
MAW1;-67.6047669273929;62.8707137975039;59.1170264035463;2190
MBAR;-0.601466610838164;30.7378795966303;1337.53710581642;2190
MBIO;-64.240390068713;-56.6227272525796;221.549531124532;2250
MCL1;-16.7203930695186;-43.8813168341716;656.491578837857;1995
MCLA;-16.7203934945446;-43.8813166716113;656.536931322888;1787
MCM4;-77.8383511085162;166.669335358009;97.9699641987681;2190
MD01;-12.5933509781012;-69.1858731138552;232.716076694429;2250
MDO1;30.6805102474489;-104.014995403135;2004.46733270399;2250
MDVJ;56.0214941032175;37.2145101653117;257.093189298175;2190
MECO;-29.1848853995426;-58.0758457801936;116.528393656947;2250
MEDE;6.19940627966953;-75.5789161613806;1553.4518630309;2250
MEDI;44.5199600039796;11.6468196099908;49.9892238592729;2190
MERI;20.9800453747271;-89.6203187124463;7.85763513296843;2250
METS;60.2174741465184;24.3953264192192;94.6645327145234;2190
MEXI;32.6329914526227;-115.475706431205;-22.4288519481197;2250
MGBH;-19.9418982644109;-43.9248978324812;974.846421872266;2250
MGIN;-22.3185594047588;-46.328024812301;883.700561990961;2250
MGJF;-21.7768300911375;-43.3725786775505;921.344562360086;2250
MGJP;-19.8519831644011;-43.9650898986581;831.786140969954;2250
MGLA;-21.2290619331911;-44.9748997816884;925.924640658312;2250
MGMC;-16.7163894739523;-43.8583174173559;618.166694368236;2250
MGMT;-18.7241008929719;-47.523795851527;912.468995224684;2250
MGRP;-19.2098580142788;-46.1325526289207;1123.46135707293;2250
MGTO;-17.88399402841;-41.4984772557625;390.548772736453;2250
MGUB;-18.9191607242137;-48.2560501262145;869.233076187782;2250
MGUE;-35.7773494386565;-69.3979287250903;1553.74010011461;2250
MGV1;-21.5426202417384;-45.434993923809;957.177083583549;2250
MGVA;-21.5426212016611;-45.4349935079481;957.231096413918;1763
